epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,20.734,1.07224,0.78247,0.91853,0.91962,0.95353,0.9219,0.58011,1.31767,0.83858,1.11401,0.000848969,0.000848969,0.000848969
43,21.1937,1.10603,0.78876,0.95958,0.91723,0.95353,0.92295,0.58457,1.30499,0.84098,1.11133,0.000834822,0.000834822,0.000834822
44,21.6666,1.0949,0.8102,0.94966,0.91371,0.95313,0.92709,0.58754,1.31056,0.84574,1.12272,0.000820675,0.000820675,0.000820675
45,22.1586,1.09366,0.8038,0.96974,0.9173,0.95353,0.92692,0.57887,1.33498,0.8489,1.12095,0.000806528,0.000806528,0.000806528
46,22.631,1.10729,0.79886,0.9487,0.91785,0.95353,0.92549,0.57632,1.3413,0.82801,1.1043,0.00079238,0.00079238,0.00079238
47,23.0898,1.11866,0.78791,0.93646,0.91877,0.95353,0.92921,0.58157,1.31043,0.81601,1.08794,0.000778233,0.000778233,0.000778233
48,23.56,1.08772,0.79622,0.94709,0.90893,0.95128,0.92422,0.57921,1.30432,0.80198,1.08034,0.000764086,0.000764086,0.000764086
49,24.0197,1.08778,0.7946,0.94117,0.91871,0.94815,0.92871,0.58532,1.30315,0.78768,1.07494,0.000749939,0.000749939,0.000749939
50,24.4841,1.07071,0.75533,0.92947,0.92951,0.94789,0.92898,0.59515,1.29144,0.76165,1.07792,0.000735792,0.000735792,0.000735792
51,24.9751,1.02995,0.74791,0.91674,0.93749,0.9498,0.93144,0.58904,1.26721,0.71746,1.08605,0.000721645,0.000721645,0.000721645
52,25.4358,1.06736,0.74674,0.93495,0.94138,0.95353,0.9331,0.61369,1.23662,0.71001,1.08277,0.000707498,0.000707498,0.000707498
53,25.9279,1.02632,0.74401,0.94105,0.93935,0.95353,0.93439,0.61446,1.24834,0.68051,1.0724,0.000693351,0.000693351,0.000693351
54,26.4438,1.04619,0.73164,0.91935,0.92919,0.95353,0.94167,0.61532,1.26597,0.69717,1.07072,0.000679204,0.000679204,0.000679204
55,26.9482,1.07224,0.74366,0.94489,0.92595,0.95353,0.94385,0.61293,1.26475,0.72833,1.07641,0.000665057,0.000665057,0.000665057
56,27.4182,1.02087,0.71469,0.92774,0.91804,0.94793,0.95038,0.62625,1.25523,0.7346,1.08195,0.000650909,0.000650909,0.000650909
57,27.9219,1.07557,0.74164,0.94897,0.90435,0.94901,0.95154,0.62837,1.25902,0.72017,1.08278,0.000636762,0.000636762,0.000636762
